id,source_name,external_id,category,title,url,reward_amount,reward_currency,reward_evidence,open_date,close_date,status,eligibility,kyc_required,capital_required,candidate_score,verification_status
154,Grants.gov API,360368,grant,Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Parent Admin Supp Clinical Trial Optional),https://www.grants.gov/search-results-detail/360368,,USD,,11/26/2025,11/30/2028,posted,,1,0,83.0,staged
123,Grants.gov API,360534,grant,Advanced Development and Validation of Emerging Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/360534,,USD,,06/03/2026,11/10/2026,posted,,1,0,83.0,staged
116,Grants.gov API,359855,grant,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),https://www.grants.gov/search-results-detail/359855,,USD,,05/21/2026,10/19/2026,posted,,1,0,83.0,staged
96,Grants.gov API,343166,grant,Advanced Technologies and Instrumentation for the Astronomical Sciences,https://www.grants.gov/search-results-detail/343166,,USD,,08/18/2022,11/16/2026,posted,,1,0,83.0,staged
24,Grants.gov API,359003,grant,"Advancing Bioinformatics, Translational Bioinformatics and Computational Biology Research (R01 Clinical Trial Optional)",https://www.grants.gov/search-results-detail/359003,,USD,,02/11/2026,03/05/2029,posted,,1,0,83.0,staged
124,Grants.gov API,361169,grant,Agriculture and Food Research Initiative Competitive Grants Program Education and Workforce Development,https://www.grants.gov/search-results-detail/361169,,USD,,01/20/2026,12/31/2026,posted,,1,0,83.0,staged
5118,Grants.gov API,362489,grant,Austrian-American Partnership Fund (AAPF),https://www.grants.gov/search-results-detail/362489,,USD,,05/20/2026,01/01/2099,posted,,1,0,83.0,staged
405,Grants.gov API,356205,grant,BRAIN Initiative Connectivity across Scales (BRAIN CONNECTS): Specialized Projects for Scalable Technologies (U01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/356205,,USD,,05/28/2026,10/04/2027,posted,,1,0,83.0,staged
167,Grants.gov API,359649,grant,BRAIN Initiative: Exploratory Research Opportunities Using Invasive Neural Recording and Stimulating Technologies in the Human Brain (R61 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/359649,,USD,,05/04/2026,02/11/2027,posted,,1,0,83.0,staged
157,Grants.gov API,360543,grant,Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional),https://www.grants.gov/search-results-detail/360543,,USD,,05/04/2026,07/05/2029,posted,,1,0,83.0,staged
156,Grants.gov API,360583,grant,Biological Testing Facility for Contraception &amp; Reproductive Health (X01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/360583,,USD,,06/01/2026,05/07/2029,posted,,1,0,83.0,staged
153,Grants.gov API,359695,grant,CCRP Initiative: Promoting a Basic Understanding of Chemical Threats to Skin (R01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/359695,,USD,,05/04/2026,11/05/2028,posted,,1,0,83.0,staged
201,Grants.gov API,360918,grant,Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),https://www.grants.gov/search-results-detail/360918,,USD,,11/26/2025,09/25/2028,posted,,1,0,83.0,staged
163,Grants.gov API,360160,grant,Causal Hypotheses on the Oral-Systemic Health Impacts of Human Behaviors among People with Chronic Conditions (U01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/360160,,USD,,06/04/2026,07/05/2029,posted,,1,0,83.0,staged
371,Grants.gov API,334971,grant,Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),https://www.grants.gov/search-results-detail/334971,,USD,,07/08/2022,01/31/2028,posted,,1,0,83.0,staged
27,Grants.gov API,359123,grant,"Community Engagement Evaluation and Data Coordination (CEED) Hub to Advance Data and Practice Transformation for Optimizing Oral Health for All (U01, Clinical Trial Not Allowed)",https://www.grants.gov/search-results-detail/359123,,USD,,04/27/2026,10/19/2026,posted,,1,0,83.0,staged
436,Grants.gov API,363348,grant,Community Forest and Open Space Conservation Program,https://www.grants.gov/search-results-detail/363348,,USD,,08/12/2026,10/13/2026,posted,,1,0,83.0,staged
29,Grants.gov API,358864,grant,Community-Based Participatory Research to Advance Data and Practice Transformation (ADAPT) for Optimizing Oral Health for All (UG3/UH3 Clinical Trial Optional),https://www.grants.gov/search-results-detail/358864,,USD,,04/27/2026,11/16/2028,posted,,1,0,83.0,staged
191,Grants.gov API,360258,grant,Continuing Human Enabling Enhancing Restoring and Sustaining,https://www.grants.gov/search-results-detail/360258,,USD,,08/07/2025,08/22/2044,posted,,1,0,83.0,staged
120,Grants.gov API,345241,grant,DEVCOM ANALYSIS CENTER BROAD AGENCY ANNOUNCEMENT FOR APPLIED RESEARCH,https://www.grants.gov/search-results-detail/345241,,USD,,01/05/2023,01/04/2028,posted,,1,0,83.0,staged
363,Grants.gov API,344592,grant,DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH,https://www.grants.gov/search-results-detail/344592,,USD,,11/21/2022,11/20/2027,posted,,1,0,83.0,staged
