file,category,functions,classes,imports,size_bytes
.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py,other,3,0,6,1109
.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py,other,2,6,0,1081
.venv\Lib\site-packages\pip\_vendor\msgpack\ext.py,other,14,2,3,5726
.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py,other,39,3,8,32390
.venv\Lib\site-packages\pip\_vendor\packaging\__init__.py,other,0,0,0,494
.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py,other,3,5,5,3306
.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py,other,11,1,12,9612
.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py,other,3,1,8,2694
.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py,other,24,5,4,10236
.venv\Lib\site-packages\pip\_vendor\packaging\_structures.py,other,16,2,0,1431
.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py,other,9,3,6,5273
.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py,other,1,1,4,5727
.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py,other,0,2,2,48398
.venv\Lib\site-packages\pip\_vendor\packaging\markers.py,other,14,5,11,10561
.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py,other,24,5,13,34762
.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py,other,6,2,7,2947
.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py,other,47,4,7,40098
.venv\Lib\site-packages\pip\_vendor\packaging\tags.py,other,30,1,11,21014
.venv\Lib\site-packages\pip\_vendor\packaging\utils.py,other,6,3,6,5050
.venv\Lib\site-packages\pip\_vendor\packaging\version.py,other,29,5,5,16688
.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py,other,280,34,45,124463
.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py,other,33,0,14,22344
.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py,other,1,0,2,1505
.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py,other,22,1,14,9007
.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py,other,44,1,6,9246
.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py,other,18,1,6,6154
.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py,other,26,1,8,10393
.venv\Lib\site-packages\pip\_vendor\platformdirs\version.py,other,0,0,1,411
.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py,other,22,1,11,10125
.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py,other,3,0,3,2983
.venv\Lib\site-packages\pip\_vendor\pygments\__main__.py,other,0,0,2,353
.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py,other,9,1,18,23656
.venv\Lib\site-packages\pip\_vendor\pygments\console.py,other,3,0,0,1718
.venv\Lib\site-packages\pip\_vendor\pygments\filter.py,other,7,2,0,1910
.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py,other,22,9,5,40392
.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py,other,5,1,3,4390
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py,other,8,1,8,5385
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py,other,0,0,0,4176
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py,other,3,1,2,3320
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py,other,7,1,3,5106
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py,other,32,1,9,35669
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py,other,29,7,8,23287
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py,other,4,1,3,4981
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py,other,12,2,5,19306
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py,other,7,3,6,5034
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py,other,3,1,1,2218
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py,other,10,1,4,11957
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py,other,4,1,3,7174
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py,other,5,1,4,4674
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py,other,16,3,3,11753
.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py,other,43,16,8,35349
.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py,other,16,1,9,12115
.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,other,0,0,0,76097
.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,other,9,10,5,53687
.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,other,2,0,1,1005
.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py,other,5,0,1,1891
.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py,other,3,0,5,3072
.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py,other,7,2,1,3092
.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py,other,9,1,13,7981
.venv\Lib\site-packages\pip\_vendor\pygments\style.py,other,7,2,1,6420
.venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py,other,2,0,3,2042
.venv\Lib\site-packages\pip\_vendor\pygments\styles\_mapping.py,other,0,0,0,3312
.venv\Lib\site-packages\pip\_vendor\pygments\token.py,other,9,1,0,6226
.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py,other,3,0,1,63208
.venv\Lib\site-packages\pip\_vendor\pygments\util.py,other,19,4,4,10031
.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py,other,0,0,3,691
